id	name	lat	lon	y	x	country	adm1	adm2	district
ddcebfda-8dfb-4a3c-b436-8858d7eea061	Łeba	54°45'39''	17°33'24''	767296.67	407153.26	POL	pomorskie	lęborski	
707d15d1-26c9-40d3-be05-ce51e24daad0	Łęczna	51°18'17''	22°52'56''	389172.09	770499.52	POL	lubelskie	łęczyński	
c340759e-774b-4aba-a663-ca76cd4ef4ed	Łęczyca	52°03'33''	19°11'54''	465919.35	513600.98	POL	łódzkie	łęczycki	
c2135806-c1d8-48de-a2e6-94c1cb7255b5	Łęknica	51°32'12''	14°44'33''	416392.06	204868.69	POL	lubuskie	żarski	
e646163d-c87d-4a71-a032-a13df43ec23c	Łobez	53°38'22''	15°37'19''	646925.65	276766.42	POL	zachodniopomorskie	łobeski	
1b5b9caf-74ed-4b18-b0d1-fbb34e55f128	Łobżenica	53°15'37''	17°15'19''	600875.19	383659.3	POL	wielkopolskie	pilski	
be1eb5aa-5bb6-447b-bed2-e494496ee05a	Łochów	52°31'50''	21°40'54''	521695.01	681835.67	POL	mazowieckie	węgrowski	
1459df4a-8e41-4c7e-bb3b-dd2b7a1a6e6a	Łomianki	52°20'01''	20°53'13''	498080.25	628528.27	POL	mazowieckie	warszawski zachodni	
98419cba-ce00-4d43-bcc6-66b4def73369	Łomża	53°10'43''	22°04'32''	594787.46	705459.72	POL	podlaskie	m. Łomża	
5d45c0af-6e7a-4f90-81c2-2dde428ef8c2	Łosice	52°12'40''	22°43'04''	489295.14	753898.13	POL	mazowieckie	łosicki	
c8405341-4df1-4c39-833e-ba52f302c4ae	Łowicz	52°06'29''	19°56'46''	471751.8	564764.97	POL	łódzkie	łowicki	
9ee174b2-df80-4c22-bae3-cee6f7e8c80e	Łódź	51°45'52''	19°27'47''	433219.84	531945.92	POL	łódzkie	m. Łódź	
c9e6a4dd-55cc-4c62-ac3e-d0bc18be4d73	Łuków	51°55'48''	22°22'50''	456919.74	732346.21	POL	lubelskie	łukowski	
bbe5b0bb-7ad7-474c-b2b3-d11586da5103	Maków Mazowiecki	52°51'47''	21°06'06''	557347.32	641438.46	POL	mazowieckie	makowski	
c4a8b9b5-b559-41bb-8c99-fa45269056a8	Maków Podhalański	49°43'49''	19°40'35''	207208.68	548730.66	POL	małopolskie	suski	
4ad0edf0-c060-4ddc-a03a-bad5cc13c468	Malbork	54°02'09''	19°01'43''	685719	501868.16	POL	pomorskie	malborski	
5656b6c9-1942-4d7a-a485-8059fead173a	Małogoszcz	50°48'43''	20°15'51''	327998.15	589038.92	POL	świętokrzyskie	jędrzejowski	
358727e0-2d3a-4bfd-9efd-22a1be7a9ee2	Małomice	51°33'19''	15°26'55''	415837.19	253895.22	POL	lubuskie	żagański	
25d70113-787c-4cf7-8073-6bd05856004f	Margonin	52°58'24''	17°05'40''	569247.1	372081.91	POL	wielkopolskie	chodzieski	
c64d424b-e340-4800-abc2-04a6c0bb4c9a	Marki	52°20'15''	21°06'53''	498935.9	644024.31	POL	mazowieckie	wołomiński	
